timestamp,raw_value,attention,label
1644694646.5510654,26,53,0
1644694646.5510654,18,53,0
1644694646.5520632,20,53,0
1644694646.5520632,28,53,0
1644694646.5520632,17,53,0
1644694646.5520632,5,53,0
1644694646.5520632,12,53,0
1644694646.5520632,36,53,0
1644694646.5520632,44,53,0
1644694646.554058,33,53,0
1644694646.5550547,18,53,0
1644694646.5570495,18,53,0
1644694646.5610383,27,53,0
1644694646.5610383,28,53,0
1644694646.5620358,12,53,0
1644694646.564032,-3,53,0
1644694646.565028,-5,53,0
1644694646.5660253,-9,53,0
1644694646.5690172,-25,53,0
1644694646.5700142,-30,53,0
1644694646.5710118,-35,53,0
1644694646.5740042,-29,53,0
1644694646.5750017,-6,53,0
1644694646.5760148,33,53,0
1644694646.578991,64,53,0
1644694646.5809853,66,53,0
1644694646.5819826,59,53,0
1644694646.5849745,65,53,0
1644694646.5859723,75,53,0
1644694646.588964,82,53,0
1644694646.5899618,73,53,0
1644694646.5919561,33,53,0
1644694646.5939507,-5,53,0
1644694646.5959454,-9,53,0
1644694646.5989397,24,53,0
1644694646.5999978,67,53,0
1644694646.601957,84,53,0
1644694646.6039617,80,53,0
1644694646.605956,83,53,0
1644694646.6069167,104,53,0
1644694646.6099474,124,53,0
1644694646.6109436,136,53,0
1644694646.6139627,133,53,0
1644694646.615952,112,53,0
1644694646.6178885,73,53,0
1644694646.619943,51,53,0
1644694646.620939,48,53,0
1644694646.6239338,50,53,0
1644694646.6249285,66,53,0
1644694646.6278608,96,53,0
1644694646.6289172,107,53,0
1644694646.6308517,97,53,0
1644694646.6338434,97,53,0
1644694646.6348412,131,53,0
1644694646.6378448,179,53,0
1644694646.639828,197,53,0
1644694646.640863,182,53,0
1644694646.6438546,150,53,0
1644694646.6448517,118,53,0
1644694646.647809,102,53,0
1644694646.6488414,96,53,0
1644694646.6508358,83,53,0
1644694646.6527953,60,53,0
1644694646.6548245,33,53,0
1644694646.6558208,11,53,0
1644694646.65878,8,53,0
1644694646.659777,7,53,0
1644694646.661798,-19,53,0
1644694646.6658196,-46,53,0
1644694646.6677804,-35,53,0
1644694646.6698086,-1,53,0
1644694646.6708074,0,53,0
1644694646.6727762,-46,53,0
1644694646.6747983,-88,53,0
1644694646.6767313,-61,53,0
1644694646.67876,-9,53,0
1644694646.6797235,13,53,0
1644694646.6827552,4,53,0
1644694646.6837423,-4,53,0
1644694646.6857076,5,53,0
1644694646.6867163,22,53,0
1644694646.713694,28,53,0
1644694646.7146912,18,53,0
1644694646.7166226,9,53,0
1644694646.7176828,4,53,0
1644694646.7196772,-6,53,0
1644694646.7196772,-14,53,0
1644694646.7196772,-13,53,0
1644694646.7206392,-4,48,0
1644694646.7206392,-6,48,0
1644694646.7206392,-28,48,0
1644694646.7206392,-39,48,0
1644694646.7206392,-20,48,0
1644694646.7206392,-3,48,0
1644694646.7226706,-7,48,0
1644694646.7236457,-4,48,0
1644694646.7236457,12,48,0
1644694646.7275949,9,48,0
1644694646.7275949,-8,48,0
1644694646.7288465,-14,48,0
1644694646.7298183,-20,48,0
1644694646.730816,-21,48,0
1644694646.732811,-3,48,0
1644694646.733808,8,48,0
1644694646.7358038,10,48,0
1644694646.7377977,8,48,0
1644694646.7387958,9,48,0
1644694646.7427847,4,48,0
1644694646.7438204,3,48,0
1644694646.7448182,1,48,0
1644694646.747771,19,48,0
1644694646.7488072,55,48,0
1644694646.749806,82,48,0
1644694646.752758,74,48,0
1644694646.755795,44,48,0
1644694646.7577574,21,48,0
1644694646.7587426,23,48,0
1644694646.7627573,25,48,0
1644694646.7637708,16,48,0
1644694646.764766,13,48,0
1644694646.7657633,18,48,0
1644694646.7687554,10,48,0
1644694646.7697537,-1,48,0
1644694646.7747602,8,48,0
1644694646.775756,45,48,0
1644694646.7777503,68,48,0
1644694646.778689,65,48,0
1644694646.7797518,39,48,0
1644694646.7827392,11,48,0
1644694646.783734,2,48,0
1644694646.786683,0,48,0
1644694646.7876635,4,48,0
1644694646.791653,13,48,0
1644694646.7926533,28,48,0
1644694646.7936485,41,48,0
1644694646.7966413,39,48,0
1644694646.7976696,37,48,0
1644694646.7996411,32,48,0
1644694646.8016448,21,48,0
1644694646.8036573,17,48,0
1644694646.804619,17,48,0
1644694646.8076134,18,48,0
1644694646.811601,11,48,0
1644694646.8126552,-3,48,0
1644694646.8136148,1,48,0
1644694646.8176153,18,48,0
1644694646.8185823,39,48,0
1644694646.8195994,48,48,0
1644694646.8215733,37,48,0
1644694646.822591,39,48,0
1644694646.8245864,59,48,0
1644694646.8265684,52,48,0
1644694646.8305643,27,48,0
1644694646.8315609,12,48,0
1644694646.8325443,8,48,0
1644694646.8355434,21,48,0
1644694646.8365345,37,48,0
1644694646.8385289,52,48,0
1644694646.8405235,65,48,0
1644694646.8425338,69,48,0
1644694646.8445115,68,48,0
1644694646.8468137,52,48,0
1644694646.8490832,25,48,0
1644694646.8500752,5,48,0
1644694646.853798,-1,48,0
1644694646.8547993,-1,48,0
1644694646.8558352,-13,48,0
1644694646.8587863,-13,48,0
1644694646.8597856,6,48,0
1644694646.862816,24,48,0
1644694646.8638275,21,48,0
1644694646.8667681,-5,48,0
1644694646.867803,-12,48,0
1644694646.8697994,21,48,0
1644694646.8707554,59,48,0
1644694646.874749,70,48,0
1644694646.8767478,58,48,0
1644694646.8787355,39,48,0
1644694646.8797324,26,48,0
1644694646.880765,42,48,0
1644694646.8837175,73,48,0
1644694646.8847156,81,48,0
1644694646.8880086,57,48,0
1644694646.8892736,32,48,0
1644694646.8910675,21,48,0
1644694646.8942652,18,48,0
1644694646.8952472,7,48,0
1644694646.8979838,5,48,0
1644694646.8990262,26,48,0
1644694646.9010675,52,48,0
1644694646.9020221,57,48,0
1644694646.9050136,59,48,0
1644694646.9063573,54,48,0
1644694646.922326,41,48,0
1644694646.924283,27,48,0
1644694646.9263568,26,48,0
1644694646.927355,35,48,0
1644694646.927355,32,48,0
1644694646.927355,18,48,0
1644694646.9283156,11,48,0
1644694646.9283156,8,48,0
1644694646.92927,-3,48,0
1644694646.92927,2,48,0
1644694646.9302692,19,48,0
1644694646.931263,25,48,0
1644694646.9323006,23,48,0
1644694646.934258,25,48,0
1644694646.9362507,23,48,0
1644694646.9392421,12,48,0
1644694646.940238,24,48,0
1644694646.9422345,43,48,0
1644694646.9442286,65,48,0
1644694646.9462638,81,48,0
1644694646.9472728,64,48,0
1644694646.9504511,28,48,0
1644694646.952297,29,48,0
